,idx,source_prompt,target_prompt,instructions
260,360535-output1,A living room filled with furniture and a television.,"Living room with furniture, television, and a clock on the wall.",add a clock on the wall
261,360535-output2,"Living room with furniture, television, and a clock on the wall.","Living room with furniture, television, a clock on the wall, and a ceiling fan.",add a ceiling fan
262,429227-input,A couple of zebra standing on top of a green field.,A zebra and a tiger standing on top of a green field.,replace a zebra with a tiger
263,429227-output1,A zebra and a tiger standing on top of a green field.,A zebra with a bird on its back and a tiger standing on top of a green field.,add a bird on the back of the zebra
264,429227-output2,A zebra with a bird on its back and a tiger standing on top of a green field.,A zebra with a bird on its back and a tiger standing on top of a green field with a bed of flowers.,add a bed of flowers
265,174896-input,A laptop is open and there is a variety of food and drink laid out in front of it.,A microwave is open and there is a variety of food and drink laid out in front of it.,replace the laptop with a microwave
266,174896-output1,A microwave is open and there is a variety of food and drink laid out in front of it.,A bowl of tomato soup added to the variety of food and drink laid out in front of an open microwave.,add a bowl of tomato soup
267,174896-output2,A bowl of tomato soup added to the variety of food and drink laid out in front of an open microwave.,An orchid and a bowl of tomato soup added to the variety of food and drink laid out in front of an open microwave.,add an orchid
268,473420-input,Two electric wires lined with pigeons hanging between a traffic light and light pole.,Pigeons perched on electric wires between a green traffic light and light pole.,let the traffic light show green
269,389986-input,A person is hitting a ball with a racket,A woman hitting a ball with a racket,make a woman hold the racket
270,389986-output1,A woman hitting a ball with a racket,A woman hitting a striped ball with a racket,let the strings be striped
271,389986-output2,A woman hitting a striped ball with a racket,A woman playing tennis with her furry companion looking up at the camera,let a dog sit under the racket and look up at the camera
272,292991-input,THIS IS A PHOTO OF SOMEONES LUGGAGE LEFT BEHIND,Abandoned luggage and a mysterious drawing on the wall,What if the there is a drawing on the wall?
273,318189-input,An old red and yellow car with a yellow surfboard on top.,An old red and yellow car with a Canadian flag and a yellow surfboard on top.,change the American flag into a Canadian flag
274,318189-output1,An old red and yellow car with a Canadian flag and a yellow surfboard on top.,An old red and yellow car with a Canadian flag and a person on top.,change the surfboard into a person
275,318189-output2,An old red and yellow car with a Canadian flag and a person on top.,A sleek sports car with a Canadian flag and a person on top.,let the car be a sports car
276,273808-input,Looking across the messy expanse of an apartment living room,Looking across the tidy expanse of an apartment living room,remove the things from the floor
277,221213-input,A long train sitting on a railroad track.,A long train sitting at a railroad crossing on a track.,Have a railroad crossing by the train.
278,221213-output1,A long train sitting at a railroad crossing on a track.,A long train sitting at a railroad crossing with a mountain backdrop.,Have a mountain behind the train.
279,312334-input,A street with gravel on the side and a traffic light.,"A street with gravel on the side, a traffic light, and palm trees on fire.",Have the palm trees be on fire
280,313880-input,Two slices of pizza and a drink sitting on a wooden table.,Menu featuring two slices of pizza and a drink sitting on a wooden table.,Add a menu.
281,232489-input,A paper plate that has two pieces of pizza on it.,A ceramic plate with two pieces of pizza on it.,Make the plate ceramic.
282,232489-output1,A ceramic plate with two pieces of pizza on it.,A ceramic plate with a sandwich on it.,Replace the pizza with a sandwich.
283,555495-input,Two zebra standing on a lush green field.,Two zebras standing on a lush green field with colorful flowers.,Let's add some flowers in the field.
284,478407-input,A nerd eating a slice of pizza on a paper plate.,A nerd biting into a slice of pizza on a paper plate.,let the man bite into the pizza
285,478407-output1,A nerd biting into a slice of pizza on a paper plate.,A ginger curly-haired nerd biting into a slice of pizza on a paper plate.,let the man have ginger curly hair
286,478407-output2,A ginger curly-haired nerd biting into a slice of pizza on a paper plate.,A ginger curly-haired nerd wearing sunglasses biting into a slice of pizza on a paper plate.,let the man wear sunglasses
287,553735-input,A blue and yellow double decker bus driving down a street.,A blue and yellow double decker bus driving down a street with a truck.,Put a truck on the street.
288,419312-input,Full course dinner served on large plate including drinks and dessert.,"Full course breakfast served on large plate including drinks and dessert, with a cereal bowl in place.",remove the place a put a cereal bowl on it's place
289,419312-output1,"Full course breakfast served on large plate including drinks and dessert, with a cereal bowl in place.","Full course breakfast served on large plate with a cereal bowl and box in place, including dessert.",erase the drink and edit a cereal box on it's place
290,27616-input,A motorcycle with lots of luggage sitting on it's back in a garage.,A motorcycle with a brown leather luggage bag sitting on its back in a garage.,Let the bag be replaced by a brown leather luggage bag.
291,459058-input,showing the number plate of a motor bike,Showing the graffiti-covered license plate of a motor bike,let the license plate have graffiti on it
292,459058-output1,Showing the graffiti-covered license plate of a motor bike,Graffiti-covered motor bike license plate with red light on,let the red light be on
293,459058-output2,Graffiti-covered motor bike license plate with red light on,Woman sitting on graffiti-covered motor bike license plate with red light on,make a woman sit on the scooter
294,376891-input,Woman selling doughnuts with doughnut stock in the background.,Woman selling doughnuts with neon doughnut stock in the background.,Make the sign neon.
295,376891-output1,Woman selling doughnuts with neon doughnut stock in the background.,Woman looking at doughnuts while selling with neon doughnut stock in the background.,have the person look towards the doughnuts.
296,376891-output2,Woman looking at doughnuts while selling with neon doughnut stock in the background.,Group of people looking at doughnuts being sold with neon doughnut stock in the background.,add more people
297,476119-input,a man skating on the road very fast,A man wearing a paperbag skating on the road very fast,make the man wear a paperbag
298,476119-output1,A man wearing a paperbag skating on the road very fast,A man wearing a paperbag skating on the road very fast with a Range Rover in the background,let there be a range rover
299,476119-output2,A man wearing a paperbag skating on the road very fast with a Range Rover in the background,A man wearing a paperbag skating in front of a cafe on the road very fast with a Range Rover in the background,let there be a cafe behind him
300,542147-input,"A view of a grassy field, with cows in the back.",A view of a peaceful grassy field.,remove the cows
301,542147-output1,A view of a peaceful grassy field.,A view of a peaceful grassy field with a UFO in the sky.,add a UFO in the sky
302,542147-output2,A view of a peaceful grassy field with a UFO in the sky.,A view of a peaceful grassy field with a UFO and a lighthouse in the sky.,add a lighthouse
303,274629-input,A red stop sign with a picture of a Time Magazine cover underneath stop.,A parking sign with a picture of a Time Magazine cover underneath.,change the stop sign to a parking sign
304,274629-output1,A parking sign with a picture of a Time Magazine cover underneath.,A parking sign with a picture of a Vogue Magazine cover underneath.,change the Time magazine to a Vogue magazine
305,274629-output2,A parking sign with a picture of a Vogue Magazine cover underneath.,A parking sign with a picture of a Vogue Magazine cover underneath and a tank on the street.,add a tank on the street
306,534555-input,A baseball player hitting a ball with a bat.,Baseball player #15 hitting a ball with a bat.,Change the number on the batter's back to 15
307,534555-output1,Baseball player #15 hitting a ball with a bat.,Baseball player #15 hitting a ball with a red helmet.,Change the batter's helmet to be red
308,534555-output2,Baseball player #15 hitting a ball with a red helmet.,Baseball player #15 with striped pants hitting a ball with a red helmet.,Have there be stripes on the batter's pants
309,350054-input,a cat sitting on a table next to a tv in a living room.,A raccoon sitting on a table next to a tv in a living room.,change the cat to a raccoon
310,350054-output1,A raccoon sitting on a table next to a tv in a living room.,A raccoon watching sports on TV in a living room.,let there be sports on TV
311,350054-output2,A raccoon watching sports on TV in a living room.,A raccoon watching sports on TV in a living room with a wooden floor.,let the floor be wooden
312,131015-input,A rack of bow ties hanging from clothes pins.,"A rack of meat hanging from clothespins, including bow ties.",let meat hang from a clothespin
313,131015-output1,"A rack of meat hanging from clothespins, including bow ties.","A rack of meat hanging from clothespins, including a regular tie.",let a regular tie hang
314,120874-input,The dog is standing on the boat deck.,The dog is howling on the boat deck.,make the dog howl
315,120874-output1,The dog is howling on the boat deck.,"Two dogs on the boat deck, one howling and the other peering through the window.",let another dog peer through the window
316,120874-output2,"Two dogs on the boat deck, one howling and the other peering through the window.","Two dogs on the boat deck, one howling and the other peering through the window, with a distant lighthouse in view.",let there be a lighthouse at a distance
317,353221-input,A stylized photo of several vegetables and fruits.,A stylized photo of several vegetables and apples.,Let the middle image be changed to apples.
318,208963-input,a man with luggage holding a red striped umbrella,a man with luggage holding a blue striped umbrella,Let the umbrella turn blue.
319,340971-input,A woman standing in front of a TV screen.,A woman standing in front of a gaming PC screen.,put a gaming pc in place of the television
320,196876-input,a meal designed to give you a heart attack,A meal designed to give you a heart attack with milk instead of beans,swap the beans for milk
321,196876-output1,A meal designed to give you a heart attack with milk instead of beans,A healthy fruit platter instead of a heart attack-inducing meal with milk instead of beans,replace the food with fruits
322,282238-input,A traffic light hanging over a street next to trees.,A traffic light hanging over a street next to a large tree.,If the was just one large tree?
323,282238-output1,A traffic light hanging over a street next to a large tree.,A bird perched on a traffic light hanging over a street next to a large tree.,Put a bird on the traffic light.
324,282238-output2,A bird perched on a traffic light hanging over a street next to a large tree.,"A bird perched on a traffic light as a train approaches from the left, next to a large tree.",Have a train coming on the left.
325,300994-input,A birthday cake is shaped like a fire truck.,A 5th birthday cake is shaped like a fire truck.,let the number be 5
326,300994-output1,A 5th birthday cake is shaped like a fire truck.,A 5th birthday cake with lit candles shaped like a fire truck.,light up the candles
327,300994-output2,A 5th birthday cake with lit candles shaped like a fire truck.,A 5th birthday cake with lit candles shaped like a fire truck being eaten by a mischievous cat.,add a cat eating the cake
328,294353-input,"Salt and Peppers shakers are in between a flower vase, near a fork.",A piece of meat on a fork next to salt and pepper shakers and a flower vase.,put a piece of meat on the fork
329,294353-output1,A piece of meat on a fork next to salt and pepper shakers and a flower vase.,A piece of meat on a fork next to salt and pepper shakers and a small vase with a rose.,replace the vase with a small vase with a rose
330,376269-input,A giraffe looking at people looking at him.,A giraffe with big ears looking at people looking at him.,make the ears bigger
331,376269-output1,A giraffe with big ears looking at people looking at him.,A giraffe with big googly eyes looking at people looking at him.,give the giraffe big googly eyes
332,242543-input,a person looking in an opened refrigerator,A person standing in front of a closed refrigerator,What if the refrigerator was closed?
333,78468-input,A truck towing a trailer loaded with bags.,A tractor towing a trailer loaded with bags.,Replace the truck with a tractor.
334,78468-output1,A tractor towing a trailer loaded with bags.,A tractor towing a trailer loaded with bags with a bear cub nearby.,A bear cub should be near the tractor.
335,78468-output2,A tractor towing a trailer loaded with bags with a bear cub nearby.,A tractor towing an empty trailer with a bear cub nearby.,Remove the bags from the trailer.
336,457986-input,A living room and kitchenette done in greens and earth tones,A living room and kitchenette done in greens and earth tones with a potted plant on the table,Have there be a potted plant on the table
337,457986-output1,A living room and kitchenette done in greens and earth tones with a potted plant on the table,A cozy living room and kitchenette with a furry friend on the sofa and a potted plant on the table,Have there be a cat on the sofa
338,315702-input,A bathroom sink with toiletries on the counter.,Bathroom sink with folded towels under the counter and toiletries on top.,let there be folded towels under the counter
339,315702-output1,Bathroom sink with folded towels under the counter and toiletries on top.,Rectangular bathroom sink with folded towels under the counter and toiletries on top.,let the sink be rectangle in shape
340,315702-output2,Rectangular bathroom sink with folded towels under the counter and toiletries on top.,"Rectangular bathroom sink with a rubber ducky, folded towels under the counter, and toiletries on top.",let there be a rubber ducky
341,159791-input,A white refrigerator freezer covered in magnets and pictures.,A white refrigerator freezer.,Remove all the magnets and stickers.
342,309753-input,A picture loaded with much wonderful sustenance on table.,"A picture loaded with much wonderful sustenance on table, featuring unripe bananas.",swap the bananas for unripe bananas
343,354306-input,A room with a large tub under a mirror.,A room with a large tub under a mirror and a bottle of poison on the shelf.,put a bottle of poison on the shelf
344,330084-input,A polar bear is swimming in the water.,A polar bear sticking out its tongue while swimming in the water.,make the bear stick out its tongue
345,330084-output1,A polar bear sticking out its tongue while swimming in the water.,A polar bear sticking out its tongue while swimming in the water with a cat.,add a cat
346,47916-input,A white dog carrying a red frisbee in it's mouth.,White dog carrying a red frisbee in its mouth in a forest.,Put a forest next to the dogs.
347,47916-output1,White dog carrying a red frisbee in its mouth in a forest.,White dog carrying a bone in its mouth in a forest.,The dog should have a bone with him.
348,47916-output2,White dog carrying a bone in its mouth in a forest.,White dog carrying a bone in its mouth near a forest pond.,Could we have a pond next to the forest?
349,286753-input,A baseball player throws the ball during practice,A baseball player wearing a skirt throws the ball during practice,Have the baseball player be wearing a skirt
350,229139-input,A cat is laying inside a suitcase with a blue interior that is sitting on top of a bed,An empty suitcase with a blue interior sitting on top of a bed,remove the cat
351,229139-output1,An empty suitcase with a blue interior sitting on top of a bed,A cat sitting next to an empty suitcase with a blue interior on top of a bed,put a cat next to the suitcase
352,99645-input,A cat next to a television in a room.,A cat next to a TV in a room.,"Change the text on the television to ""TV"""
353,99645-output1,A cat next to a TV in a room.,A cat next to a TV in a room with a helicopter flying outside.,Change the birds to a helicopter
354,99645-output2,A cat next to a TV in a room with a helicopter flying outside.,A cat next to a TV in a room with a person falling out of a helicopter outside.,Have there be a person falling out of the helicopter
355,502808-input,"A bathroom is well lit and has a toilet, tub, shower, and sink.","A well-lit bathroom with a toilet, sink, and bathtub with a closed shower curtain.",Let the shower curtain close the bathtub.
356,63866-input,Group of people sitting at a long dinner table together.,Group of people sitting at a long dinner table together with a delicious cake.,add cake to the table
357,63866-output1,Group of people sitting at a long dinner table together with a delicious cake.,Group of dogs sitting at a long dinner table together with a delicious cake.,place dogs instead of people
358,104669-input,A white plate served on a multi colored table cloth,A white plate with a glass of juice served on a multi colored table cloth.,A glass of juice would complete the meal.
359,581632-input,A bar filled with lots of bottles of alcohol.,A laboratory filled with lots of bottles of chemicals.,change from a bar to a laboratory
360,581632-output1,A laboratory filled with lots of bottles of chemicals.,A laboratory filled with lots of bottles of chemicals and a chalkboard by the clock.,put a chalkboard by the clock
361,163431-input,a large bag filled with clothes and shoes,A large bag filled with clothes and stilettos,change the shoes into stilettos
362,163431-output1,A large bag filled with clothes and stilettos,A bed covered in pillows and a large bag filled with clothes and stilettos,let the bed contain pillows
363,163431-output2,A bed covered in pillows and a large bag filled with clothes and stilettos,A bed covered in pillows and a large bag filled with clothes and a loaf of bread,let the bag contain a loaf of bread
364,343849-input,An open laptop computer sitting on top of a desk.,An open laptop computer displaying a green web page sitting on top of a desk.,let the laptop have a green web page
365,343849-output1,An open laptop computer displaying a green web page sitting on top of a desk.,An open binder displaying a green web page sitting on top of a desk.,replace the notebook with a binder
366,343849-output2,An open binder displaying a green web page sitting on top of a desk.,An open binder displaying a green web page sitting on top of a desk with a wine bottle nearby.,add a wine bottle
367,24207-input,A shaggy haired sheep looking up in a field.,A shaggy haired black sheep looking up in a field.,Make one of the sheep a black sheep.
368,139-input,A woman stands in the dining area at the table.,A woman stands in the dining area at the table with closed window shades.,Close the window shades.
369,139-output1,A woman stands in the dining area at the table with closed window shades.,A woman sits in a chair at the dining table with closed window shades.,Make the woman sit in a chair.
370,139-output2,A woman sits in a chair at the dining table with closed window shades.,A woman sits in a chair at the dining table with closed window shades while a cat sleeps on the floor.,Have a cat sleep on the floor by the table.
371,113857-input,A couple of women shaking hands on top of a tennis court.,A couple of women holding a trophy on top of a tennis court.,make the women hold a trophy instead of shaking hands
372,113857-output1,A couple of women holding a trophy on top of a tennis court.,Red and blonde-haired women holding a trophy on top of a tennis court.,let the women have red and blonde hair
373,113857-output2,Red and blonde-haired women holding a trophy on top of a tennis court.,Red and blonde-haired women holding a trophy on top of a tennis court with their coach watching them.,add a coach watching them
374,122913-input,a cat that is laying in some kind of bag,A racoon sitting inside a suitcase while a cat looks on.,A racoon is sitting inside of a suitcase.
375,272953-input,A brown horse grazing on a lush green field.,A brown horse and a white goat grazing on a lush green field.,Let's add a white goat on the grass.
376,377368-input,A cake shaped as a Teddy Bear on a wooden table.,A cake shaped as a Teddy Bear on a wooden table for a 4th birthday celebration.,Make the cake for a 4th birthday instead of 30th.
377,377368-output1,A cake shaped as a Teddy Bear on a wooden table for a 4th birthday celebration.,A Teddy Bear cake on a wooden table for a 4th birthday celebration.,Remove the candles from the cake.
378,377368-output2,A Teddy Bear cake on a wooden table for a 4th birthday celebration.,A Teddy Bear cake with a red nose on a wooden table for a 4th birthday celebration.,Make the frosting on the bear's nose red.
379,163897-input,A truck that is sitting in the grass.,Truck with fixed fender sitting in the grass.,Fix the fender.
380,163897-output1,Truck with fixed fender sitting in the grass.,Damaged truck with fixed fender sitting in the grass.,Smash the headlights.
381,163897-output2,Damaged truck with fixed fender sitting in the grass.,Damaged truck with fixed fender sitting in the dirt field.,Make the field dirt.
382,465335-input,A dog and his owner playing ball on the beach,A dog and his owner playing tennis on the beach,Replace the ball with a tennis ball.
383,357941-input,Two televisions that are stacked on top of each other.,Cat hanging from two stacked televisions.,Make the cat hang from the TV
384,357941-output1,Cat hanging from two stacked televisions.,Cat and Mouse: A precarious balance on stacked televisions.,Let a mouse sit on the tv set by the cat.
385,357941-output2,Cat and Mouse: A precarious balance on stacked televisions.,Cat and Mouse: A precarious balance on stacked televisions with a bird flying by the window in front of the cat.,Make a bird fly by the window in front of the cat.
386,494056-input,Decorative containers and vases sit on a table.,Flower-filled decorative containers and vases sit on a table.,If the vase had flowers?
387,384346-input,A city worker is using a mobile device.,A city worker in a blue hat is using a mobile device.,change hat color to blue
388,456610-input,Food separated into plates and bowls on a table.,Hotdogs and other food separated into plates and bowls on a table.,replace the salad with hotdogs
389,335913-input,A small twin bed sitting underneath a poster on a wall.,"A small twin bed with a picture of a girl in the frame, sitting underneath a poster on a wall.",What if there was a picture of a girl in that frame?
390,25551-input,An ambulance and police cars are stopped at the scene of an accident.,A food truck and police cars are stopped at the scene of an accident.,change the ambulance into a food truck
391,25551-output1,A food truck and police cars are stopped at the scene of an accident.,A police officer and food truck are stopped at the scene of an accident.,let the man be dressed in a police uniform
392,25551-output2,A police officer and food truck are stopped at the scene of an accident.,A police officer and food truck are stopped at the scene of an accident with buildings in the background.,let there be buildings in the back
393,262686-input,A man pointing at some food on a trey.,A man pointing at another man's food on a trey.,let the man point to another man
394,262686-output1,A man pointing at another man's food on a trey.,"A man pointing at another man's food on a tray, while looking at the camera.",let the man look at the camera
395,262686-output2,"A man pointing at another man's food on a tray, while looking at the camera.","A man pointing at another man's food on a tray, while looking at the camera and smiling.",let the sitting man smile
396,221190-input,A large building that has a train passing by it.,A large yellow building with a train passing by it.,Let the sign turn yellow.
397,200003-input,Two people on a beach are carrying their surf boards towards the water.,Two people on a beach are carrying a log towards the water.,What if they are carrying a log?
398,360805-input,A cat is sleeping at a computer desk on a keyboard.,A cat looks at the camera while sleeping on a computer desk on a keyboard.,make the cat look at the camera
399,360805-output1,A cat looks at the camera while sleeping on a computer desk on a keyboard.,A cat looks at the camera while sleeping on a computer desk on a keyboard with a blue screen.,let the laptop have a blue screen
400,360805-output2,A cat looks at the camera while sleeping on a computer desk on a keyboard with a blue screen.,A happy cat enjoys cat food and treats while sleeping on a computer desk on a keyboard with a blue screen.,let there be cat food and cat treats
401,478184-input,A lone giraffe is walking along the shore of the water,A lone giraffe sitting on the shore of the water.,Let the giraffe sit.
402,418726-input,"Someone is stocking up on cool summer treats, a case of root beer and a case of freezer pops.",Stocking up on summer treats on a wooden floor - a case of root beer and a case of freezer pops.,Let the floor be made of wood.
403,62740-input,A tall clock tower at the end of a street next to tall buildings.,A blue car passing by a tall clock tower at the end of a street next to tall buildings.,Let the car turn blue.
404,298318-input,A group of people riding on a boat across a lake.,A group of people riding on a galley across a lake.,change the rubber boat into a galley
405,298318-output1,A group of people riding on a galley across a lake.,A group of people riding on a galley across a lake with a playful dolphin jumping in.,let a dolphin jump into the galley
406,298318-output2,A group of people riding on a galley across a lake with a playful dolphin jumping in.,A group of people riding on a galley across a lake with skyscrapers in the background and a playful dolphin jumping in.,let there be skyscrapers at the back
407,1401-input,A silver and clear drink container with a black tray of fruit next to it.,"A silver and clear drink container with a black tray of fruit next to it, featuring an orange instead of a lemon.",Let the lemon be replaced by an orange.
408,74583-input,A cat laying on a cushion on top of a table.,A parrot perched on a cushion on top of a table.,Swap the cat for a parrot.
409,74583-output1,A parrot perched on a cushion on top of a table.,A parrot perched on a cushion on top of a table. (No change needed),The bicycle should be removed.
410,74583-output2,A parrot perched on a cushion on top of a table. (No change needed),A parrot perched on a cushion on top of a table with a floating balloon.,Add just one floating balloon.
411,294974-input,Airplane is docked at the airport so passengers can get inside.,Airplane with pig logo is docked at the airport so passengers can get inside.,Give the plane a pig logo.
412,291004-input,A blue blanket on top of a bed covered in electronics.,"A blue blanket on top of a bed covered in electronics, without an iPhone.",remove the iPhone
413,291004-output1,"A blue blanket on top of a bed covered in electronics, without an iPhone.","Geometric patterned blue blanket on top of a bed covered in electronics, without an iPhone.",let the blue covers have geometrical patterns
414,291004-output2,"Geometric patterned blue blanket on top of a bed covered in electronics, without an iPhone.","Geometric patterned blue blanket on top of a bed covered in electronics, with an LCD display remote control and no iPhone.",let the remote control have an LCD display
415,403028-input,"A kitchen with a sink on one side and a refrigerator, stove, microwave, and oven on the other side.","A kitchen with a sink on one side and a refrigerator, stove, microwave, and oven on the other side, with a delicious pizza on the counter.",Have there be a pizza on the counter
416,403028-output1,"A kitchen with a sink on one side and a refrigerator, stove, microwave, and oven on the other side, with a delicious pizza on the counter.","A kitchen with a sink on one side and a refrigerator, stove, microwave, and oven on the other side, with a delicious pizza and a bottle of soda on the counter.",Have there be a bottle of soda on the counter
417,167863-input,"A piece of meat covered in marinara sauce, cheese and herbs.",A piece of meat covered in marinara sauce and herbs.,remove the cheese
418,407083-input,A small dog is looking out a car window.,A small dog with a tennis ball in his mouth is looking out a car window.,What if the dog had a tennis ball on his mouth?
419,407083-output1,A small dog with a tennis ball in his mouth is looking out a car window.,A cool man with shades and a small dog with a tennis ball in his mouth are looking out a car window.,What if the man had shades?
420,322829-input,A white meta bench next to a patch of grass.,A white metal bench with a dog resting underneath next to a patch of grass.,put a dog under the bench
421,322829-output1,A white metal bench with a dog resting underneath next to a patch of grass.,A white metal bench with a flower vase and a dog resting underneath next to a patch of grass.,put a flower vase on the bench
422,393286-input,A partly peeled banana and an insulated bag on a table.,An apple and a partially peeled banana sit near other items on a desk.,A apple and a partially peeled banana sits near other items on a desk.
423,262283-input,A lot of vases filled with lots of flowers.,A lot of vases filled with red roses.,make the flowers into red roses
424,490443-input,A chair and umbrella on a sandy beach.,A chair and umbrella on a sandy beach with the ocean in the background.,Can we have the ocean on the background?
425,490443-output1,A chair and umbrella on a sandy beach with the ocean in the background.,"A chair, umbrella, and car on a sandy beach with the ocean in the background.",Put a car on the beach.
426,513712-input,A hot dog sitting on a board by some tomatoes and other food.,A hot dog and other food on a plate with tomatoes.,put the food on a plate
427,513712-output1,A hot dog and other food on a plate with tomatoes.,A hot dog and other food on a plate with oranges.,substitute tomatoes for oranges
428,498463-input,A metallic refrigerator freezer sitting in a kitchen.,A white refrigerator freezer sitting in a kitchen.,The refrigerator could be white.
429,498463-output1,A white refrigerator freezer sitting in a kitchen.,A white refrigerator freezer with colorful stickers sitting in a kitchen.,We could add some stickers to the refrigerator.
430,498463-output2,A white refrigerator freezer with colorful stickers sitting in a kitchen.,A white refrigerator freezer with colorful stickers sitting in a kitchen with a dispenser behind it.,Could we have a dispenser behind the refrigerator?
431,488132-input,A herd of sheep in a field with a fence in the foreground.,A herd of sheep in a field with a fence in the foreground and a tiger watching them.,Have there be a tiger looking at the sheep
432,401822-input,A kitchen painted white with blue tile and a stove top oven.,"A kitchen painted white with blue tile, a stove top oven, and tile flooring.",change the wooden flooring into tile flooring
433,401822-output1,"A kitchen painted white with blue tile, a stove top oven, and tile flooring.","A kitchen painted white with blue tile, a stove top oven, tile flooring, and a bowl on the stove.",add bowl on the stove
434,557067-input,A blue patch work quilt on someones bed,A fruit-filled blue patch work quilt on someones bed,Have there be a bunch of fruit on the bed
435,445397-input,Numerous individuals are doing something at this point that is full.,"Numerous individuals are doing something at this point that is full, as the lady gasps in amazement.",let the lady gasp
436,445397-output1,"Numerous individuals are doing something at this point that is full, as the lady gasps in amazement.",A vintage-clad woman gasps in amazement as numerous individuals fill the scene.,let the lady wear vintage clothes
437,445397-output2,A vintage-clad woman gasps in amazement as numerous individuals fill the scene.,A vintage-clad woman gasps in amazement as numerous individuals fill the scene with a television on the wall.,let there be television on the wall
438,448177-input,White toilet outside with flowers growing out of it.,White toilet with lid and flowers growing out of it.,Let the water tank have a lid.
439,212834-input,An umbrella sits on the beach at night.,A chair and an umbrella on the beach at night.,Place a chair under the umbrella.
440,45596-input,A view A large metal structure near the side of a building,A view of a large metal structure near the side of a building with no plant life,What if there was no plant life along the building
441,182673-input,A living room with white couches and grey chairs.,A living room with white couches and an upright piano.,Replace the gray chairs with an upright piano
442,182673-output1,A living room with white couches and an upright piano.,Someone playing the upright piano in a living room with white couches.,Have there be someone playing the piano
443,182673-output2,Someone playing the upright piano in a living room with white couches.,Someone in a red shirt playing the upright piano in a living room with white couches.,Have the person be wearing a red shirt
444,367107-input,A painting of a police officer holding a stop sign.,A painting of a police officer holding a painting at an art exhibit.,replace the stop sign with a painting
445,501864-input,A group of horses pulling a carriage next to men.,A group of horses pulling a carriage.,remove the men
446,501864-output1,A group of horses pulling a carriage.,Image of horses pulling a carriage.,remove the text
447,501864-output2,Image of horses pulling a carriage.,Image of horses pulling a carriage with a zeppelin floating in the sky.,let a zeppelin float in the sky
448,492489-input,a bat and a ball on the ground next to a flower,A wooden baseball bat and ball on the ground next to a flower,What if the baseball bat was made of wood?
449,110327-input,A food entree is served in a container with a side.,A food entree with carrots served in a container with a side on a styrofoam tray.,put carrots on the styrofoam tray
450,110327-output1,A food entree with carrots served in a container with a side on a styrofoam tray.,A food entree with carrots served in a container with a side and money on a styrofoam tray.,put money in the styrofoam tray
451,110327-output2,A food entree with carrots served in a container with a side and money on a styrofoam tray.,A food entree with carrots served in a container with a side and money on a styrofoam tray.,get rid of the hot dog
452,531277-input,a man is putting together a sandwich on a plate,A man is putting together a cake on a plate,Can it be a cake on the plate?
453,531277-output1,A man is putting together a cake on a plate,A man is putting together a cake on a blue plate,The plate could be blue?
454,531277-output2,A man is putting together a cake on a blue plate,A man is putting together a cake on a blue plate with a glass of soda next to it.,Put a glass of soda next to the plate.
455,126182-input,The white refrigerator is next to the kitchen counter.,The blue refrigerator is next to the kitchen counter.,Can the refrigerator be blue?
456,126182-output1,The blue refrigerator is next to the kitchen counter.,The blue refrigerator and microwave are next to the kitchen counter.,Put a microwave next to the freezer.
457,126182-output2,The blue refrigerator and microwave are next to the kitchen counter.,"The blue refrigerator, microwave, and oven are next to the kitchen counter.",Can it have a oven?
458,195715-input,A baseball sitting in a baseball mitt on a blanket,A baseball and tennis ball sitting in a baseball mitt on a blanket,What if there was a tennis ball in the glove?
459,196878-input,A newspaper called The Queenslander with a holiday dinner scene on it.,A newspaper called The Queenslander with a holiday dinner scene and an extra glass of wine on it.,change the flower for another glass of wine
460,196878-output1,A newspaper called The Queenslander with a holiday dinner scene and an extra glass of wine on it.,"A newspaper called The Queenslander with a holiday dinner scene and an extra glass of wine on it, minus the candle stick.",remove the candle stick
461,303257-input,A family of elephants walking in and drinking water.,A family of elephants with curled trunks walking in and drinking water.,Curl its trunk.
462,303257-output1,A family of elephants with curled trunks walking in and drinking water.,A family of elephants with curled trunks and a smiley face walking in and drinking water.,Paint a smiley face on it.
463,303257-output2,A family of elephants with curled trunks and a smiley face walking in and drinking water.,A family of elephants with curled trunks and a smiley face walking and drinking water.,Get rid of the rock.
464,516000-input,"A plate of Japanese food, including ramen noodles, pink pickled ginger, and seaweed.","A plate of Japanese food, including rice, pink pickled ginger, and seaweed.",Replace the noodles with rice.
465,516000-output1,"A plate of Japanese food, including rice, pink pickled ginger, and seaweed.","A plate of Japanese food, including rice, pink pickled ginger, seaweed, and a side of sauce.",Add a bit of sauce on the side.
466,516000-output2,"A plate of Japanese food, including rice, pink pickled ginger, seaweed, and a side of sauce.","A plate of Japanese food, including rice, seaweed, chicken, and a side of sauce.",Replace those non-seaweed veggies with chicken.
467,536798-input,A young child who is holding onto a parking meter.,A young child crying while holding onto a parking meter.,Let the boy cry.
468,377212-input,a dog with a skate board in a field,A cool dog with a skate board and a backwards baseball cap in a field,Have the dog be wearing a backwards baseball cap
469,377212-output1,A cool dog with a skate board and a backwards baseball cap in a field,"A cool dog with a skate board and a backwards baseball cap with the letter ""A"" in a field","Have the baseball cap have the letter ""A"" on it"
