idx,source_prompt,target_prompt,real_image,category
318815-output1,towel,sandcastle,0,change
318815-output2,sandcastle,a kid crouch next to sandcastle,0,add
410152-input,the train,a person riding a bicycle next to the train,1,add
410152-output1,subway train,street bus,0,change
315219-input,cord,pendulum,1,change
147501-input,fridge,metallic fridge,1,change
123336-input,donuts,donuts with e strawberry glaze,1,change
123336-output1,alcohol shelf,bookshelf,0,change
123336-output2,donuts,a smiling man standing nearby donuts,0,add
335912-input,man,man wearing shirt,1,change
214028-input,bed,blue bed,1,change
214028-output1,bedroom,bedroom with a television,0,add
214028-output2,bedroom,bedroom with a large window,0,add
426052-input,a baseball game,a baseball game with flying drone,1,add
460460-input,a couch,a pillow on a couch,1,add
405249-input,table with a cake with toys,table,1,remove
405249-output1,a chocolate cake,two chocolate cakes,0,add
405249-output2,table,a balloon on the table,0,add
151480-input,the stands,a mascot in the stands,1,add
151480-output1,players,players line up,0,change
231682-input,motorcycle,bicycle,1,change
231682-output1,officer,officer looking at the camera,0,change
243361-input,a chair at the table,a man sit on a chair at the table,1,add
243361-output1,laptop,closed laptop,0,change
243361-output1,computer,computer with a butterfly wallpaper,0,change
95828-input,computers,books,1,add
95828-output1,a room,a room with a turtle,0,add
350132-input,the frisbee,a dog leaps to catch the frisbee,1,add
350132-output1,the field,mountains bordering the field,0,add
350132-output2,the field,the field has water sprinklers,0,add
147471-input,a man,a bald man,1,change
147471-output1,a woman,a blonde woman,0,change
147471-output2,a dog,a dog with a hat,0,add
519432-input,laptop,laptop is turn off,1,change
519432-output1,the wall,a smiley face on the wall,0,add
457572-input,glasses,sunglasses,1,change
457572-output1,the bed,a champagne bottle on the bed,0,add
457572-output2,the girl,the girl has blonde hair,0,change
23355-input,a plate of pizza ,a plate of roast chicken,1,change
23355-output1,waiter,laughing waiter,0,change
23355-output2,waiter,waiter and a bunch of people,0,add
419974-input,man,man cutting a pineapple,1,change
419974-output1,dog,howling dog,0,change
419974-output2,kitchen,kitchen with dog food and treats,0,add
205069-input,pink hat,red hat,1,change
205069-output1,woman,woman in a red skirt,0,change
205069-output2,woman,blonde woman,0,change
555012-input,a toilet,a toilet with the lid up,1,change
417804-input,mouse,rodent mouse,1,change
294918-input,store,a wild pig in a store,1,add
243066-input,ski,ski and a snowmobile,1,add
373184-input,a giraffe,a white giraffe,1,change
373184-output1,the tree,yellow flowers on the tree,0,add
373184-output2,a giraffe,a kangaroo and a giraffe,0,add
180141-input,a girl,a girl holding a microphone,1,add
127028-input,orange,banana,1,change
127028-output1,apple,a phone next to the apple,0,add
127028-output2,fruit,fruit and a cup of coffee,0,add
189472-input,a chair,a stool,1,change
223734-input,elephant,white elephant,1,change
352295-input,a box,a box with a picture of a panda,1,add
391509-input,bus station,bus station with a ducati superbike parked,1,add
391509-output1,the woman,the woman dressed in a military uniform,0,change
391509-output2,bus station,train station,0,add
523978-input,window,small window,1,add
276124-input,baby,baby smiles,1,change
276124-output1,baby, baby looks at the camera,0,change
276124-output2,baby,baby with curly ginger hair,0,change
573448-input,red bowl,red bowl contains dessert,1,change
573448-output1,blender,blender contains vegetables,0,change
573448-output2,the blender,a spider next to the blender,0,add
231822-input,glasses,cans of beer,1,change
231822-output1,fruits,soup,0,change
231822-output2,veggies,mac and cheese,0,add
167529-input,the sink,a mug on the sink,1,add
167529-output1,the sink,a glass bottle on the sink,0,add
167529-output2,mirror,small mirror,0,change
131388-input,animals,kids,1,change
396338-input,the buildings,the buildings on fire,1,add
499598-input,man,superman,1,change
499598-output1,people,reporters,0,change
499598-output2,dinner table,desk,0,change
429762-input,the elephants,a rock next to the elephants,1,add
429762-output1,an elephant ,an elephant digging the ground,0,change
429762-output2,elephant,elephant next to a lake,0,add
304627-input,a surfboard,a fan,1,change
304627-output1,stairs and door,an exit door,0,change
458772-input,traffic light,traffic light shows red,1,change
458772-output1,the street,a large dog in the street,0,add
458772-output2,the sky,an exotic planet in the sky,0,add
136699-input,the purse,a gold brand label on the purse,1,add
92187-input,a wooden figure,a barbie doll,1,change
229525-input,bathroom with a door,bathroom,1,remove
229525-output1,bathroom,bathroom with a laptop,0,add
229525-output2,bathroom,bathroom with a cat,0,add
137118-input,stool,wooden stool,1,change
181947-input,a lime green cup,a red cup,1,change
81930-input,red fire hydrant,yellow fire hydrant,1,change
174423-input,bird,yellow bird,1,change
78085-input,a laptop,a microwave,1,change
78085-output1,table,coffee cup on a table,0,add
78085-output2,computer screen,white computer screen,0,add
540697-input,sky,sunny sky,1,change
540697-output1,a scissor lift,a crew,0,change
540697-output2,a plane,a rocket,0,change
236243-input,a painting on the wall,a clock on the wall,1,change
236243-output1,a bed,a cat on a bed,0,add
318924-input,the statue of zebra,the zebra,1,change
318924-output1,a zebra,a zebra and a water bowl,0,add
459440-input,the sheet of paper,the sheet of paper showing a picture of a person\'s face,1,change
428152-input,the oven,a chicken in a pot on top of the oven,1,add
360540-input,a scooter,a penguin,1,change
570951-input,a man,a man wearing a cowboy hat,1,add
570951-output1,a woman,a woman wearing a witch hat,0,add
433334-input,a man ,an angry man,1,change
433334-output1,a plate,an empty plate,0,remove
411727-input,the laptop,the laptop showing a media player,1,change
411727-output1,glasses,eye shadow kit,0,change
411727-output2,the table,a person's hand on the table,0,add
415461-input,the child,the child eating an ice cream,1,change
415461-output1,a child,a bald child,0,change
415461-output2,a child,another child reach for the ice cream,0,change
401307-input,three people,two people,1,remove
390565-input,the motorcycles,a lake next to the motorcycles,1,add
390565-output1,to the lake,a green field next to the lake,0,add
390565-output2,the field,a car on the field,0,add
220031-input,surfer ,surfer falling,1,change
84031-input,baseball bat,tennis racquet,1,change
84031-output1,baseball,tennis ball,0,change
84031-output2,a catcher,a bucket of balls,0,change
434496-input,food,fruit,1,add
434496-output1,food,donuts,0,change
28288-input,hotdog,mustard on hotdog,1,add
108244-input,a cat,a mouse near a cat,1,add
156405-input,a sidewalk,a marble sidewalk,1,change
156405-output1,a seat,a cat on a seat,0,add
156405-output2,the lake,a boat in the lake,0,add
518182-input,frisbee,ball,1,change
518182-output1,shoes,brown shoes,0,change
518182-output2,the water,a boat in the water,0,add
115260-input,the tray,a pizza on the tray,1,change
115260-output1,the tray,a glass of soda next to the tray,0,add
561137-input,a face,a happy face,1,change
393254-input,a photo with text, a photo,1,remove
393254-output1,an RV,a luxury car,0,change
393254-output2,tent,log cabin,0,change
81964-input,meat,cereal,1,change
81964-output1,a plate,a plate filled with cookies,0,change
171199-input,fork,spoon,1,change
171199-output1,pizza,pizza with basil leaves,0,add
527656-input,the wall,a skateboard on the wall,1,add
476810-input,the cat, a phone next to the cat,1,add
476810-output1,the cat,the white cat,0,change
476810-output2,cat,a television behind a cat,0,add
379977-input,a brown horse,a pink unicorn,1,change
379977-output1,a field,a river near a field,0,add
508582-input,the pizzas,the peperoni pizzas,1,change
2886-input,fork,knife,1,change
2886-output1,veggies and french fries,less veggies and more french fries,0,change
498988-input,screen,blue screen,1,change
498988-output1,table with bottle ,table,0,remove
322574-input,food,food a soda can in the back,1,add
322574-output1,hotdog,hotdog with mustard,0,add
322574-output2,food,food with a salad on the right side,0,add
400922-input,logo on the sign,smiley face on the sign,1,change
400922-output1,the clock with hour hand,the clock,0,remove
173401-input,cow,leaping cow,1,change
173401-output1,road,dirt road,0,change
173401-output2,cow,parking lot near cow,0,add
385026-input,the view,the ocean,1,change
385026-output1,trees,buildings,0,add
512442-input,woman holding bowl,woman,1,remove
512442-output1,the elephant,a baby giraffe,0,change
92661-input,the couch,the couch made of leather,1,change
92661-output1,laptop,laptop showing animals,0,change
92661-output2,door,red door,0,change
132847-input,British flag,Canadian flag,1,change
132847-output1,plane with number,plane,0,remove
132847-output2,the plane,a man crouch under the plane,0,add
513200-input,the giraffes,the baby giraffe under its mother,1,add
536103-input,potatoes,baked beans,1,change
536103-output1,toast,a single slice of toast,0,change
536103-output2,the plate,kid holds the plate,0,change
37662-input,cap and other stuff,cap,1,remove
37662-output1,cap,cap with japanese flag,0,add
241319-input,a sink,a sink and a rubber duck,1,add
254004-input,luggage,crate,1,change
254004-output1,people,people and men in suits,0,add
254004-output2,people,people and a golf cart,0,add
367375-input,passengers,singing passengers,1,change
367375-output1,horse,horse with a long mane,0,change
367375-output2,horse,neighing horse,0,change
396330-input,guys,guys raising hands,1,change
396330-output1,basketball court with a basketball hoop,basketball court,0,remove
396330-output2,basketball court,indoor swimming pool,0,add
208868-input,a plate,a pizza on a plate,1,add
208868-output1,a pizza,a glass of wine and a pizza,0,add
208868-output2,candle on a table,a table,0,remove
326174-input,people carrying surfbords,people,1,remove
326174-output1,the ocean,a boat in the ocean,0,add
326174-output2,the sky,birds in the sky,0,add
489358-input,truck,school bus,1,change
489358-output1,cars behind the bus,bicycles behind the bus,0,change
512854-input,man,man holding a trophy,1,change
512854-output1,man,man in halloween costume,0,change
512854-output2,couch,fluffy bed,0,change
213547-input,a woman,a woman sitting in a chair,1,change
130586-input,a kite,a bird,1,change
130586-output1,a boy,a girl,0,change
130586-output2,a girl,a dog next to a girl,0,add
274460-input,people and surfboards,people,1,remove
274460-output1,people,people and dog,0,add
499733-input,guy,guy wearing futuristic glasses,1,change
499733-output1,guy,smiling guy,0,change
499733-output2,guy,bald guy,0,change
415958-input,a woman,a man,1,change
3661-input,bananas,oranges,1,change
3661-output1,oranges,oranges and a glass of water,0,add
438876-input,man ,man holds a tennis ball,1,add
438876-output1,man,man sticking his tongue out,0,change
438876-output2,tennis racquet,stick,0,change
172686-input,a bowl,a bowl of dessert,1,add
172686-output1,the table,a watermelons on the table,0,add
172686-output2,the bowl,a rat sniffs the bowl,0,add
144269-input,man,man with long hair,1,change
144269-output1,people on the bus,the bus,0,remove
221212-input,people on an elephant,an elephant,1,remove
221212-output1,an elephant,an elephant with small trunk,0,change
127648-input,dessert with two cherries on top,dessert with one cherry on top,1,change
485234-input,the board,bread on the board,1,change
485234-output1,the bread,a cup of coffee behind the bread,0,add
485234-output2,the bread,a knife on a bread,0,add
510955-input,a woman,a woman with glasses,1,add
475169-input,the pigeons,a cat watching the pigeons,1,add
276055-input,the woman,the woman wearing a mask,1,change
280490-input,the tray,a pancake on the tray,1,add
280490-output1,the pancakes,some fries next to the pancakes,0,add
329737-input,keyboard,yellow keyboard,1,change
329737-output1,computer,computer with a blue webpage,0,add
329737-output2,a mouse,a hamster,0,change
466567-input,a donut,an apple,1,change
139653-input,sky,a flock of birds flying by,1,add
539143-input,a train,a train smiles with eyes and a mouth,1,change
539143-output1,a train,a train stops in front of a train station building,0,add
529266-input,brown horse,white horse,1,change
529266-output1,lake,a boat in a lake,0,add
529266-output2,lawn,tall shrubs in a lawn,0,add
376773-input,kids,an alien next to the kids,1,add
376773-output1,the kids,a swimming pool by the kids,0,add
148508-input,the bus,the yellow bus,1,change
446917-input,a bike,a motorcycle,1,change
446917-output1,a banana,a carrot,0,add
446917-output2,a street,a traffic cone,0,add
271402-input,two girls,one girl,1,remove
271402-output1,a girl,a girl and a cat,0,add
161047-input,the table,a birthday cake on the table,1,add
161047-output1,the table,a child sitting at the table,0,add
161047-output2,a child,a child wearing a birthday hat,0,add
32778-input,man,man in a yellow sweatshirt,1,change
283638-input,a plate,a hand holds a plate,1,add
21404-input,a clock,a clock with English numbers,1,change
21404-output1,a clock,palm trees and a clock,0,add
21404-output2,sky,a flock of birds flying across,0,add
544615-input,a child,a child holding a banana,1,change
391388-input,broccoli and onions,an apple,1,change
163852-input,fried food,a tomato slice,1,change
171757-input,a woman,a woman holds a bottle of wine,1,add
434217-input,a frisbee,a soda bottle,1,change
410366-input,boys,boys playing a ball,1,change
410366-output1,boys,a lake behind buys,0,add
410366-output2,boys,boys and a girl,0,add
118209-input,horses,horses with saddles,1,add
118209-output1,horses,horses wearing shoes,0,add
118209-output2,horses,a hill behind horses,0,change
439602-input,hotdog,hotdog with no buns,1,remove
439602-output1,plate,transparent plae,0,change
439602-output2,hotdog,a hand touching hotdog,0,add
77444-input,donuts,canapes,1,change
77444-output1,table,a cup of tea on a table,0,add
77444-output2,table,an open laptop on a table,0,add
398157-input,the counter,a vase of flowers to the counter,1,add
339634-input,food plate,food plate with a lobster,1,add
339634-output1,food plate,food plate with a dipping sauce,0,add
158702-input,toilet,open toilet,1,change
158702-output1,plant,plant with blue flowers,0,change
158702-output2,the shower curtains,the shower curtains are open,0,change
277020-input,a man,a smiling man,1,change
277020-output1,a man,a blonde man,0,change
277020-output2,a tie with stripes,a tie,0,remove
425609-input,forks,spoons,1,change
425609-output1,a cupcake,a cupcake with strawberry frosting,0,add
425609-output2,a cupcake with frosting,a strawberry on top of a cupcake with frosting,0,add
228435-input,a sink with a towel,a sink ,1,remove
392991-input,chocolate on cake,cake,1,remove
392991-output1,the cake,strawberry on top of the cake,0,add
392991-output2,a cake and the chocolate spoon,a cake,0,remove
360762-input,a bear in a basket,a rabbit in a basket,1,change
360762-output1,a rabbit,a rabbit and an egg,0,add
25528-input,the pitcher,the pitcher wearing gloves,1,change
25528-output1,baseball outfit,military uniform,0,change
25528-output2,the buildings at the back,the conifers at the back,0,change
466945-input, the sky,a spaceship in the sky,1,add
466945-output1,the sidewalk,an alien walking on the sidewalk,0,add
485083-input,floor,a rat on the floor,1,add
12766-input,the table, a glass of wine on the table,1,add
12766-output1,the table,a bowl of eggs on the table,0,add
12766-output2,the glass,a bottle of wine next to the glass,0,add
127517-input,surfboards,surfboards and legs of a lifeguard stand,1,add
127517-output1,the beach,a seagull on the beach,0,add
127517-output2,a seagull,a beach umbrella by a seagull,0,add
409050-input,a living room with a table,a living room,1,remove
409050-output1,glass door,aquarium,0,change
327702-input,a child,a bag,1,change
327702-output1,woman,woman feeding a tiger,0,change
153669-input,a helmet,a top hat,1,change
297426-input,a mouse,a lizard next to a mouse,1,add
297426-output1,a photo with black panels,a photo,0,remove
297426-output2,a photo,a photo with a cellphone,0,add
52603-input,frisbee,football,1,change
52603-output1,man,man wearing a blue jersey,0,change
52603-output2,man,a dog running toward a man,0,add
258674-input,a car,a white car,1,change
382559-input,a table,an empty table,1,remove
154597-input,green seats,chairs,1,change
154597-output1,table,round table,0,change
154597-output2,a room,a room with a brown door,0,add
407650-input,the sky,a helicopter in the sky,1,add
573764-input,a classroom,a cafeteria,1,change
573764-output1,pizza,school lunches,0,change
349302-input,a giraffe,a monkey,1,change
349302-output1,animals,a parked car near animals,0,add
56896-input,the television,the television showing yaga,1,change
56896-output1,the curtains,the red curtains,0,change
56896-output2,window,window shows a view of an airport runway,0,change
144534-input,skillet,skillet with vegan food,1,change
144534-output1,the skillet,a woman holding the skillet,0,add
144534-output2,bottle of olive oil,soy sauce,0,change
476335-input,a man,a woman,1,change
476335-output1,a man,a woman,0,change
149-input,the field,a river next to the field,1,add
149-output1,the field,a forest behind the field,0,add
92212-input,parked cars,parked limousines,1,change
92212-output1,Pay Here sign,Stop sign,0,change
92212-output2,cars,cars with pedestrians walking on the side,0,add
561514-input,floor,tiled floor,1,change
561514-output1,the island,a raccoon on the island,0,add
561514-output2,the ceiling,a chandelier on the ceiling,0,add
294943-input,cat,cat with a hat,1,add
294943-output1,man,man with a hat,0,add
146457-input,a boy,a boy wearing a hat,1,add
146457-output1,a girl,a girl holding a ketchup,0,add
399547-input,toothbrushes,forks,1,change
551701-input,a girl standing on a stone,a girl standing on grass,1,change
551701-output1,a girl,a fat girl,0,change
551701-output2,a girl playing with a frisbee,a girl,0,remove
67027-input,food,food with a glass of milk,1,add
272876-input,the boy on the skateboard,the boy standing on the skateboard,1,change
272876-output1,a door,a wall,0,remove
272876-output2,the boy,a cop staring at the boy,0,add
443320-input,apple,green apple,1,change
443320-output1,an orange,a fly on an orange,0,add
189461-input,a cup,a straw coming out of the cup,1,add
148634-input,the cat,the cat hugs a stuffed teddy bear,1,add
148634-output1,car door,car door is open,0,change
500270-input,the sky,a UFO to the sky,1,add
500270-output1,park and palm trees,park,0,remove
294920-input,a book and a glass of water,a book and a glass of wine,1,change
454209-input,the stove,the microwave,1,change
454209-output1,the shelf,bottles on the shelf,0,add
572765-input,the water,a submarine in the water,1,add
204871-input,the animal stickers,a smiley face sticker,1,change
47294-input,a sign,"a \""NO\"" sign",1,change
265145-input,a woman,a woman laughs,1,change
265145-output1,a woman,a woman wears an expensive ball gown,0,change
265145-output2,the bottles,barbeque food,0,change
457268-input,a monkey hanging from the shelf,a gorilla hanging from the shelf,1,change
197656-input,a train,a black bullet train,1,change
197656-output1,a train,buildings behind a train,0,add
44080-input,a fruit bowl,a salad bowl,1,change
44080-output1,orange drink,a cup of cola,0,change
44080-output2,food,food and a clipboard,0,add
324012-input,the monitor,a woman and a child on the monitor,1,change
434485-input,a watermelon,a sliced watermelon,1,change
573483-input,a cherub,a monkey,1,change
573483-output1,a clock,a large bell,0,change
573483-output2,the monkey,an owl next to the monkey,0,add
360449-input,a street,an empty street,1,change
360449-output1,a street,a street and a car parking garage,0,add
360449-output2,a street,a street and a toll booth,0,add
455219-input,the oxen,a snake on the road in front of the oxen,1,add
468203-input,a teddy bear,a teddy bear wearing a crown,1,add
364549-input,the woman,the woman wears a designer gown,1,change
364549-output1,shrubs near the woman,the woman,0,remove
364549-output2,the woman,the woman is next to a park,0,change
416125-input,a sign ,a yield sign,1,change
109921-input,a window with blind,a window,1,remove
169763-input,a bike,a monkey on top of a bike,1,add
279994-input, the dog,a butterfly on the dog,1,add
95061-input,a bus ,a woman next to a bus,1,add
116746-input,fence,parking lot,1,change
116746-output1,the machine,a person leaning on the machine,1,add
116746-output2,a parking lot,an indoor lot,0,change
47074-input,woman,woman wearing a party gown,1,change
47074-output1,kitchen,kitchen with a bowl with roast chicken,0,add
47074-output2,woman,woman painting the wall,0,change
147545-input,the kitchen,a baby in the kitchen,1,add
147545-output1,a baby,a hat on a baby,0,add
211118-input,a rabbit on top of a tree trunk,a rabbit on top of a planet,1,change
211118-output1,sheeps behind a rabbit,a rabbit,0,remove
131075-input,the screen of the laptop,a girl in the screen of the laptop,1,change
131075-output1,the projected image,a picture of a flower on the projected image,0,change
385042-output1,brick sidewalk,asphalt street,0,change
464144-input,man,boy,1,change
65135-input,large passenger sitting,large passenger parking,1,change
188148-output1,laptop,computer,0,change
163431-output1,large bags,pillows,0,change
494056-input,containers,containers with flowers,1,add
500207-input,white plane,colored plane,1,change
167863-input,cheese,sauce,1,change
